MARKET RESEARCH REPORT — US FITNESS SUPPLEMENTS,,,,,,
Data Sources: Google Trends (Feb 2025 - Feb 2026) + Meta Ad Library (10 ads analyzed),,,,,,
Date: February 2026,,,,,,
Industry: Fitness / Supplements (US Market),,,,,,
,,,,,,
KEY FINDING #1: Creatine is the biggest opportunity in the category,,,,,,
Signal,Data,,,,,
Google Trends YoY growth,0.287,,,,,
Peak index (Jan 2026),100/100,,,,,
Current avg index,85+,,,,,
Ads targeting women + creatine,Near zero,,,,,
Longest running ad in category,Emma x GNC — 700+ days — creatine for women,,,,,
Conclusion,Underserved audience + growing demand + proven format = highest priority opportunity,,,,,
,,,,,,
KEY FINDING #2: Weight loss angle is dead,,,,,,
Signal,Data,,,,,
Google Trends YoY change,-18.20%,,,,,
Current avg index,2.5/100,,,,,
Market shift,From aesthetics → performance,,,,,
Conclusion,"Avoid ""weight loss"" framing — reframe as performance and energy",,,,,
,,,,,,
KEY FINDING #3: UGC and creator ads outlast brand ads,,,,,,
Signal,Data,,,,,
Emma x GNC (creator),700+ days active,,,,,
Black Girl Vitamins (creator UGC),150+ days active,,,,,
Oats Overnight (brand),300+ days active,,,,,
Muscle & Strength (brand),150 days active,,,,,
REDCON1 (brand),30 days active,,,,,
Conclusion,Creator and UGC formats convert longer — recommend UGC-first creative strategy,,,,,
,,,,,,
KEY FINDING #4: Identity-based hooks outperform product hooks,,,,,,
Signal,Data,,,,,
Black Girl Vitamins hook,Identity + community — 150+ days,,,,,
Emma x GNC hook,Problem-first education — 700+ days,,,,,
REDCON1 hook,Product inventory list — 30 days,,,,,
Conclusion,"Lead with the person, not the product — emotional and educational hooks win",,,,,
,,,,,,
KEY FINDING #5: Spanish-speaking market is untapped,,,,,,
Signal,Data,,,,,
Brands targeting Hispanic audience,Only NaturalSlim,,,,,
Spanish fitness supplement searches,Growing but underserved,,,,,
Conclusion,Secondary opportunity — brands with Hispanic audience should test Spanish-language creatives,,,,,
,,,,,,
RECOMMENDED TESTING FRAMEWORK,,,,,,
Priority,Audience,Concept,Hook,Format,Platform,Expected Signal
🔴 Test 1,Women 25-40 fitness,Women + Creatine (Education),The problem with creatine isn't the creatine…,Video 30s UGC,TikTok + Reels,High CTR — untapped audience + proven format
🔴 Test 2,Women 25-45 health,Collagen + Identity,"Take your vitamins, drink water and watch the magic happen",Video 30s UGC,Instagram,Proven format — replicate winner
🟡 Test 3,Men 18-30 gym,Creatine + Science,I tested every creatine for 90 days. Here's what actually worked,Video 60s,YouTube + Instagram,High intent audience
🟡 Test 4,Adults 30-50,Simplicity + Trust,Stop guessing. This is the only supplement you actually need,Carousel,Facebook,Underserved on Facebook
🟡 Test 5,Hispanic women 30-50,Metabolism + Community,Miles de personas ya lo lograron — y vos podés también,Video 30s,Facebook + Instagram,Untapped Spanish market
,,,,,,
BUDGET RECOMMENDATION,,,,,,
"Allocate 60% to Test 1 and Test 2 — highest signal, lowest competition, proven formats",,,,,,
"Allocate 40% to Test 3, Test 4 and Test 5 — validate secondary audiences",,,,,,
"Pause any campaigns using ""weight loss"" angle immediately",,,,,,
,,,,,,
WHAT TO MEASURE,,,,,,
Metric,Target,Why,,,,
CTR,>2.5%,Industry benchmark for supplements,,,,
Hook retention (3s view rate),>40%,Validates hook is stopping the scroll,,,,
CPA,<$35,Sustainable for supplement AOV,,,,
ROAS,>1.5x,Minimum profitable threshold,,,,
Ad longevity,>60 days,Proxy for conversion quality,,,,
,,,,,,
AD PATTERNS — WHAT WINS IN THIS CATEGORY,,,,,,
Pattern,Evidence,Action,,,,
Problem-first hook,"Emma x GNC 700 days: ""The problem with creatine isn't the creatine""","Lead every ad with the problem, not the product",,,,
Creator / UGC format,Top 3 longest-running ads are all creator or UGC,Prioritize creator partnerships over brand ads,,,,
Niche identity audience,Black Girl Vitamins targeting specific community,Narrow the audience — speak to one person specifically,,,,
Education over promotion,"Top hooks explain, not sell",Teach something useful in the first 3 seconds,,,,
